feature,group,core_or_experimental,median_delta,iqr_delta,keep_drop,notes
turnover_ratio_20d,liquidity,experimental,-0.9166666666666667,0.368838028169014,keep,keep: enforced group minimum
adv_median_60d,liquidity,experimental,-1.03125,0.5057951877934272,drop,drop: negative median
adv_20d,liquidity,core,-1.125,0.5208333333333333,drop,drop: negative median
adv_60d,liquidity,core,-1.8125,0.53125,drop,drop: negative median
volume_zscore_20d,liquidity,experimental,-2.077464788732394,0.6995305164319245,drop,drop: negative median
ret_2w,momentum,experimental,-0.18750000000000006,1.376026995305164,keep,keep: enforced group minimum
excess_ret_3m_vs_index,momentum,experimental,-0.375,1.050176056338028,keep,keep: enforced group minimum
ret_1w,momentum,experimental,-0.5520833333333334,0.4430017605633802,drop,drop: negative median
ret_3m,momentum,core,-1.0,0.487676056338028,drop,drop: negative median
ret_1m,momentum,core,-1.2174295774647885,1.3469776995305165,drop,drop: negative median
ret_6m,momentum,core,-1.3221830985915493,1.1499413145539905,drop,drop: negative median
ret_8w,momentum,core,-1.3485915492957745,0.4354460093896715,drop,drop: negative median
ret_12m,momentum,core,-1.795774647887324,0.624046361502347,drop,drop: negative median
adx_14,trend,experimental,-0.22447183098591555,1.2742077464788732,keep,keep: enforced group minimum
pct_above_50d_sma,trend,core,-0.25,1.6261737089201878,keep,keep: enforced group minimum
bollinger_pctb_20_2,trend,experimental,-0.3591549295774648,1.3408157276995305,drop,drop: negative median
rsi_14,trend,experimental,-0.4375,0.3026701877934272,drop,drop: negative median
supertrend_state_10_3,trend,experimental,-0.5,0.12793427230046944,drop,drop: negative median
donchian_pos_20,trend,experimental,-0.6056338028169014,0.9561326291079812,drop,drop: negative median
bollinger_bw_20_2,trend,experimental,-0.7306338028169014,1.112382629107981,drop,drop: negative median
macd_hist_12_26_9,trend,experimental,-1.0816461267605635,1.0964275234741783,drop,drop: negative median
ema_slope_20d,trend,experimental,-1.125,0.45334507042253525,drop,drop: negative median
pct_above_20d_sma,trend,core,-1.1316021126760563,1.1036531690140845,drop,drop: negative median
pct_above_200d_sma,trend,core,-1.419014084507042,0.22564553990610348,drop,drop: negative median
pct_from_52w_high,trend,experimental,-1.7130281690140845,1.4304577464788732,drop,drop: negative median
hist_vol_20d,volatility,experimental,-0.5,0.15492957746478875,keep,keep: enforced group minimum
atr_pct_14,volatility,core,-0.5950704225352113,0.923855633802817,drop,drop: negative median
gk_vol_20d,volatility,experimental,-0.8058978873239437,1.343236502347418,drop,drop: negative median
beta_60d,volatility,experimental,-0.971830985915493,1.4693368544600938,drop,drop: negative median
hist_vol_60d,volatility,experimental,-1.2230046948356808,0.29049295774647876,drop,drop: negative median
hv_percentile_1y,volatility,experimental,-1.375,0.6616784037558685,drop,drop: negative median
