feature,group,marginal_ic,marginal_std,marginal_t,marginal_hit_rate,marginal_n_weeks,base_feature,base_ic,base_n_weeks,corr_with_base,incremental_ic_vs_base,incremental_std,incremental_t,incremental_hit_rate,incremental_n_weeks
ret_1w,momentum,0.003784731435670806,0.05663223017560853,1.4611182027025988,0.5230125523012552,478,ret_12m,0.033838107325000255,478,0.11367122702017869,-6.594850352854082e-05,0.0550218201998434,-0.026204986489636317,0.50418410041841,478
ret_2w,momentum,0.009889179478954263,0.05804176127315459,3.725063021888597,0.5899581589958159,478,ret_12m,0.033838107325000255,478,0.14959285368198721,0.004501499354471018,0.05675342416801862,1.734119696510334,0.5481171548117155,478
ret_1m,momentum,0.011986856010542477,0.06104964697137251,4.292754774085276,0.5899581589958159,478,ret_12m,0.033838107325000255,478,0.22228994478543357,0.0045031994247979,0.05633838152850821,1.7475546336169412,0.5334728033472803,478
ret_3m,momentum,0.017127304511137538,0.07765392920096999,4.82213685913195,0.6380753138075314,478,ret_12m,0.033838107325000255,478,0.4610264134834415,0.0034807735435063106,0.057148778334544355,1.331627534696798,0.5104602510460251,478
ret_6m,momentum,0.02399638670266548,0.10126392456745596,5.1808980402088185,0.696652719665272,478,ret_12m,0.033838107325000255,478,0.6847057399416506,0.0016596087938616792,0.06297077979061375,0.5762097521950081,0.5,478
ret_8w,momentum,0.017185432883526253,0.06838452605357366,5.494353310850308,0.6422594142259415,478,ret_12m,0.033838107325000255,478,0.3474215139533746,0.006370153702055091,0.0557444396836546,2.4984019209027286,0.5397489539748954,478
ret_12m,momentum,0.033838107325000255,0.12292566826820328,6.0183499052768346,0.7364016736401674,478,ret_12m,0.033838107325000255,478,1.0,,,,,0
excess_ret_3m_vs_index,momentum,0.017127304511137538,0.07765392920096999,4.82213685913195,0.6380753138075314,478,ret_12m,0.033838107325000255,478,0.4610264134834415,0.0034807735435063106,0.057148778334544355,1.331627534696798,0.5104602510460251,478
pct_above_20d_sma,trend,0.009033631142521474,0.058207754458692584,3.3930906042875306,0.5962343096234309,478,pct_above_200d_sma,0.022866508111766746,478,0.4706321042074909,-0.0037545583443960107,0.059459308618482656,-1.3805525764111308,0.4790794979079498,478
pct_above_50d_sma,trend,0.01503486248237998,0.06473084346277215,5.0781104472590215,0.6317991631799164,478,pct_above_200d_sma,0.022866508111766746,478,0.7237535039922887,-0.005799340559457499,0.06357740026173091,-1.9942968165240147,0.4330543933054393,478
pct_above_200d_sma,trend,0.022866508111766746,0.09229070566150015,5.416962527175635,0.6694560669456067,478,pct_above_200d_sma,0.022866508111766746,478,1.0,,,,,0
pct_from_52w_high,trend,0.0030422522749980058,0.0581860648656886,1.1431156908252849,0.5104602510460251,478,pct_above_200d_sma,0.022866508111766746,478,0.18123283980146893,0.0025794427208009544,0.05737111003304418,0.9829843054484619,0.502092050209205,478
adx_14,trend,-0.0024400286252674597,0.05978583326107375,-0.8922993631861527,0.49581589958158995,478,pct_above_200d_sma,0.022866508111766746,478,0.146982247205901,-0.01863323356073763,0.06972281087842458,-5.842884327963592,0.36401673640167365,478
macd_hist_12_26_9,trend,0.01014148104401933,0.08418208602793177,2.633877960098454,0.6317991631799164,478,pct_above_200d_sma,0.022866508111766746,478,0.2215418420561562,0.002334426750750186,0.07276969756981735,0.70136425702961,0.5481171548117155,478
bollinger_pctb_20_2,trend,-0.0006312960264888401,0.055303679382071994,-0.24957034420968918,0.49372384937238495,478,pct_above_200d_sma,0.022866508111766746,478,0.12435599427266385,-0.0036718551793602358,0.05536334233617761,-1.4500306802439253,0.4769874476987448,478
bollinger_bw_20_2,trend,0.012517941556942762,0.05810460751621407,4.710166897420954,0.5941422594142259,478,pct_above_200d_sma,0.022866508111766746,478,0.46854616220193,-0.00030959802016459847,0.058141078653211574,-0.11642038693818627,0.4916317991631799,478
rsi_14,trend,0.004235891049228996,0.056427543639326366,1.6412229608342068,0.5292887029288703,478,pct_above_200d_sma,0.022866508111766746,478,0.15122247193503544,-0.012198757094606372,0.07005121841514926,-3.8072714174238205,0.38284518828451886,478
donchian_pos_20,trend,0.001333446694392692,0.05847679475541143,0.49854693137927814,0.5125523012552301,478,pct_above_200d_sma,0.022866508111766746,478,0.08489874561492859,-0.0009168134069220535,0.05793314861158567,-0.3459933655178373,0.5,478
supertrend_state_10_3,trend,-0.05896720372804744,0.19980826417948888,-1.616433022301877,0.4666666666666667,30,pct_above_200d_sma,0.022866508111766746,478,0.16494760604024014,-0.050534155645636715,0.10897011374573363,-2.5400264366224854,0.43333333333333335,30
ema_slope_20d,trend,0.011442290181689935,0.06100186968201117,4.100943251701013,0.5983263598326359,478,pct_above_200d_sma,0.022866508111766746,478,0.6525180846383806,-0.003659001052695018,0.05977576742041897,-1.3382933572522215,0.4790794979079498,478
hist_vol_20d,volatility,0.00345172594411909,0.05932811516287322,1.2720075936977342,0.5271966527196653,478,atr_pct_14,0.011192390401789275,478,0.10191560788418806,0.0021969639967285926,0.059497443012588115,0.8073067551718633,0.5083682008368201,478
hist_vol_60d,volatility,0.0031239216227846272,0.06007259525543097,1.136940357524693,0.5104602510460251,478,atr_pct_14,0.011192390401789275,478,0.04459918202650549,0.0028810482103414823,0.05990805740280039,1.0514272698679663,0.502092050209205,478
gk_vol_20d,volatility,-0.004893355513378767,0.057444788298223845,-1.8623876558714054,0.4497907949790795,478,atr_pct_14,0.011192390401789275,478,-0.17138938930710307,-0.0027671041680316344,0.05761092085358831,-1.0501096266144838,0.4707112970711297,478
hv_percentile_1y,volatility,0.0007254040240026186,0.058339570910038954,0.27156632761366084,0.5157232704402516,477,atr_pct_14,0.011192390401789275,478,0.09786181761381534,-0.0005790153003893954,0.05851506785035051,-0.21611331077270474,0.4947589098532495,477
atr_pct_14,volatility,0.011192390401789275,0.05831429504893933,4.196254005371185,0.5920502092050209,478,atr_pct_14,0.011192390401789275,478,1.0,,,,,0
