symbol,scale_factor,median_close_raw,median_close_scaled
360ONE,1.0,791.7000122070312,791.7000122070312
3MINDIA,100.0,30110.000000000004,301.1
AADHARHFC,1.0,439.04998779296875,439.04998779296875
AARTIIND,1.0,511.75,511.75
AAVAS,1.0,1670.0999755859375,1670.0999755859375
ABB,10.0,5218.10009765625,521.810009765625
ABBOTINDIA,100.0,27351.199218750004,273.5119921875
ABCAPITAL,1.0,186.2100067138672,186.2100067138672
ABFRL,1.0,235.1999969482422,235.1999969482422
ABLBL,1.0,142.80999755859375,142.80999755859375
ABREL,1.0,1780.5,1780.5
ABSLAMC,1.0,542.7999877929688,542.7999877929688
ACC,10.0,2000.550048828125,200.0550048828125
ACE,1.0,1137.300048828125,1137.300048828125
ACMESOLAR,1.0,248.47000122070312,248.47000122070312
ADANIENSOL,1.0,894.7250061035156,894.7250061035156
ADANIENT,10.0,2520.0,252.0
ADANIGREEN,1.0,1025.5999755859375,1025.5999755859375
ADANIPORTS,1.0,1203.0999755859375,1203.0999755859375
ADANIPOWER,1.0,106.38999938964844,106.38999938964844
AEGISLOG,1.0,781.4750061035156,781.4750061035156
AEGISVOPAK,1.0,249.9550018310547,249.9550018310547
AFCONS,1.0,447.8999938964844,447.8999938964844
AFFLE,1.0,1255.699951171875,1255.699951171875
AGARWALEYE,1.0,424.70001220703125,424.70001220703125
AIAENG,10.0,3467.300048828125,346.7300048828125
AIIL,1.0,1710.75,1710.75
AJANTPHARM,10.0,2290.85009765625,229.085009765625
AKUMS,1.0,562.1499938964844,562.1499938964844
AKZOINDIA,10.0,2809.050048828125,280.9050048828125
ALKEM,10.0,4919.75,491.975
ALKYLAMINE,10.0,2148.10009765625,214.810009765625
ALOKINDS,1.0,19.299999237060547,19.299999237060547
AMBER,10.0,3998.89990234375,399.889990234375
AMBUJACEM,1.0,541.6500244140625,541.6500244140625
ANANDRATHI,1.0,1815.425048828125,1815.425048828125
ANANTRAJ,1.0,380.45001220703125,380.45001220703125
ANGELONE,10.0,2442.35009765625,244.235009765625
APARINDS,10.0,6301.9501953125,630.19501953125
APLAPOLLO,1.0,1539.3499755859375,1539.3499755859375
APLLTD,1.0,910.4000244140625,910.4000244140625
APOLLOHOSP,10.0,6236.35009765625,623.635009765625
APOLLOTYRE,1.0,455.20001220703125,455.20001220703125
APTUS,1.0,311.0,311.0
ARE&M,1.0,1011.7000122070312,1011.7000122070312
ASAHIINDIA,1.0,606.9500122070312,606.9500122070312
