feature,coverage,ic_mean,tstat,pos_frac_adj,n_weeks,sign,abs_tstat
adv_20d,0.9770551677417455,-0.0417612150978411,-4.733535224650083,0.644927536231884,138,-1,4.733535224650083
sma_50d,0.926128832729522,-0.047068550001308385,-4.363213347625344,0.6183206106870229,131,-1,4.363213347625344
beta_60d,0.9110188212423788,-0.03160926116643237,-4.196967517261292,0.627906976744186,129,-1,4.196967517261292
sma_20d,0.9770551677417455,-0.04258554875399374,-4.011320976379893,0.6159420289855072,138,-1,4.011320976379893
adv_60d,0.9112250007363554,-0.0376612154541179,-3.8973675886526187,0.5968992248062015,129,-1,3.8973675886526187
adv_median_60d,0.9112250007363554,-0.03522682360148565,-3.708757305576711,0.5813953488372093,129,-1,3.708757305576711
ret_1d,0.9998821831462991,-0.016600665520873054,-2.251919944053909,0.5602836879432624,141,-1,2.251919944053909
donchian_pos_20,0.9770109864216077,-0.012305984482635401,-1.4264849471375711,0.5579710144927537,138,-1,1.4264849471375711
hist_vol_60d,0.9110188212423788,0.020907228453049407,1.375625376074272,0.5503875968992248,129,1,1.375625376074272
ret_6m,0.8085770669494271,0.015388838455047262,1.1762602994317715,0.5739130434782609,115,1,1.1762602994317715
